Strain	accession	gene	original_header	seq_type	tax	vsearch_hash	len
AMT23ST09-1	KU705411	petB	Synechococcus sp. AMT23ST09-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	8eebe9481beec3301e987be242e05b71	577
AMT23ST08-1	KU705410	petB	Synechococcus sp. AMT23ST08-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	6bbca22c32f8b9b53a0a7ab7b50ce927	598
AMT23ST01-6	KU705409	petB	Synechococcus sp. AMT23ST01-6 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	69fa508f2e72210d14676a9e7830d82f	569
AMT23P4-3	KU705408	petB	Synechococcus sp. AMT23P4-3 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	77cdc28239966df2520553acdf5596e2	601
AMT23P3-1	KU705407	petB	Synechococcus sp. AMT23P3-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIB	MIC	1695821c37cf304effbc700dc7bf2b79	585
A18-98-78m	KU705406	petB	Synechococcus sp. A1898-78m cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	253704cffbea22e29774aa849e9f0d80	559
A1814b-surf	KU705405	petB	Synechococcus sp. A1814b-surf cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	e2f21569df5f6c1623ba60e34b5586b8	559
A1814-154m	KU705404	petB	Synechococcus sp. A1814-154m cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	e350d43d2beb17cd908ce5e743a89982	559
A18-32b	KU705403	petB	Synechococcus sp. A18-32b cytochrome b6 (petB) gene, partial cds	petB_Syn_WPC1|WPC1A	MIC	75e4bce3aed2b533fbe45a2437b621fc	559
A18-23-surf	KU705402	petB	Synechococcus sp. A18-23-surf cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	8edff2353f31a105e63dd5dcaa3e256d	559
A18-22	KU705401	petB	Synechococcus sp. A18-22 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	36dacc36e837502ccfed2cd4df9e403a	559
A18-19b-surf	KU705400	petB	Synechococcus sp. A18-19b cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	f47cac0b6979845b6b73c0c6d80d616f	559
A18-16	KU705399	petB	Synechococcus sp. A18-16 cytochrome b6 (petB) gene, partial cds	petB_Syn_III|IIIA	MIC	dd96dc997b214ee6c2cc4a384abe227c	559
A14C38	KU705398	petB	Synechococcus sp. A14C38 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIA	MIC	0d8a34eab922e2b66ebf8e19417ed791	579
772	KU705397	petB	Synechococcus sp. 772 cytochrome b6 (petB) gene, partial cds	petB_Syn_VI|wo	MIC	aa9fe22ad19f81f86c51cd729afe94f8	559
MVIR-7-1	KF443073	petB	Synechococcus sp. MVIR-7-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_IV|IVA	MIC	ddff1b89d8fdd28668e3e1ca5d40dd18	567
MVIR-18-1	KF443072	petB	Synechococcus sp. MVIR-18-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	17da2ce11e3cd077a98240bbb71bc021	521
MVIR-10-1	KF443068	petB	Synechococcus sp. MVIR-10-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	b94c14c92de811c66309b68f3b743e8d	567
MVIR-1-1	KF443067	petB	Synechococcus sp. MVIR-1-1 cytochrome b6 (petB) gene, partial cds	petB_Syn_I|IA	MIC	9b1688d53d192c39dc55de3a0edd9d49	567
A15-44	KF443066	petB	Synechococcus sp. A15-44 cytochrome b6 (petB) gene, partial cds	petB_Syn_II|IIA	MIC	2f5c4c266f308ef45ec9aa0866cd9fdf	530
AMT18070-D85	JF307769	petB	UNVERIFIED: Uncultured Prochlorococcus sp. clone AMT18070-D85 cytochrome b6-like gene, partial sequence	petB_Pro_LLIV|LLIVA	MIC	1fb7e1b2237dab1a3ab7db52e69f00e1	559
AMT18025-D49	JF307759	petB	UNVERIFIED: Uncultured Prochlorococcus sp. clone AMT18025-D49 cytochrome b6-like gene, partial sequence	petB_Pro_LLIV|LLIVA	MIC	fbee7bf5bb7ebc0f367634a8cf17b757	559
AMT18025-D48	JF307758	petB	UNVERIFIED: Uncultured Prochlorococcus sp. clone AMT18025-D48 cytochrome b6-like gene, partial sequence	petB_Pro_LLIV|LLIVA	MIC	4a327e9a2c5670500fbd953b7f87f8f9	559
AMT18025-D44	JF307754	petB	UNVERIFIED: Uncultured Prochlorococcus sp. clone AMT18025-D44 cytochrome b6-like gene, partial sequence	petB_Pro_LLIV|LLIVA	MIC	5bc026c2e624f70dfac04903bb2a5024	559
AMT18025-A31	JF307745	petB	UNVERIFIED: Uncultured Prochlorococcus sp. clone AMT18025-A31 cytochrome b6-like gene, partial sequence	petB_Pro_LLIV|LLIVA	MIC	91c5c813c187d861ce30a41725449385	559
Ellet4b	JF307742	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-4b cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	770ecfb6f13efa28b7bc0a828b393aac	559
Ellet4a	JF307741	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-4a cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	9721863695d9d62c762c136bf1f8d2f8	559
Ellet3b	JF307740	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-3b cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVC	MIC	d48d1c8d4f0e357f0421c868353fbc6c	559
Ellet3a	JF307739	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-3a cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVC	MIC	ae1fb34d8f201cc4a5d9103535a000fb	558
Ellet2b	JF307738	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-2b cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVC	MIC	4311550a59fb8907ebedea5dc55e85a6	559
Ellet2a	JF307737	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-2a cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVC	MIC	4e12a8453a5133d51ced050e1b854b67	559
Ellet1b	JF307736	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-1b cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	83258c9ac59bf734834524c361ccaf6d	559
Ellet17	JF307734	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-17 cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVC	MIC	3b81e47593b7f61ed61191e6c2da2b7d	559
Ellet16	JF307733	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-16 cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	d43f1861282343559e40c95bfb4e334f	559
Ellet15	JF307732	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-15 cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	86ecf94b75c331fe51d19ff7b2fd8ace	559
Ellet14	JF307731	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-14 cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVC	MIC	30324df5b7954e072c7194193a1b6856	559
Ellet13	JF307730	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-13 cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVC	MIC	6d6f8d1c1f14d0ca88175e436e73c5f1	559
Ellet12	JF307729	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-12 cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	671549efe7e6022216866468e88b93b4	559
Ellet11	JF307728	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-11 cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	056eb1771502ec75634f54b45496f5f8	559
Ellet10	JF307727	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-10 cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	dfa793fa9107e9fe79c0597ea1f507b9	559
Ellet09	JF307726	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-09 cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	f4c04a7c709a63a1d15348b91e4dd224	559
Ellet08	JF307725	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-08 cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	cd5984f1799cb8dc2212bdcda6af21c9	559
Ellet07	JF307724	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-07 cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVA	MIC	fab43da75a20aad5c904bee1cc21ab18	559
Ellet06	JF307723	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-06 cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	ae69f38ee81b3d8a99240cdf75fafa2e	559
Ellet05	JF307722	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Ellett-05 cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVC	MIC	07e7f8b2565b733e257e953315135703	559
BATS3b	JF307721	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-3b cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIA	MIC	665f928948377d92f3dd6d354b0ab604	559
BATS3a	JF307720	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-3a cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	d6f36631304b9aef8976c39d9b9418cf	559
BATS2b	JF307719	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-2b cytochrome b6-like gene, partial sequence	petB_Syn_XX|XXA	MIC	fba5044d087e3b309c03acad4062bd57	560
BATS2a	JF307718	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-2a cytochrome b6-like gene, partial sequence	petB_Syn_EnvA|EnvAA	MIC	9d9227f0fb3aa569c4d1ebd4e479ab9d	558
BATS1b	JF307717	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-1b cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIA	MIC	9299dd159eff0e9add2b573239d12f21	559
BATS15	JF307715	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-15 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIA	MIC	eed2f1a947418fbb91874c34c66a9a02	559
BATS14	JF307714	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-14 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIA	MIC	749e9ec8e2a57ce7d3a8fb18bef96f2a	559
BATS13	JF307713	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-13 cytochrome b6-like gene, partial sequence	petB_Syn_EnvA|EnvAA	MIC	63438f3575166152f50ab4c5f659ab94	559
BATS12	JF307712	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-12 cytochrome b6-like gene, partial sequence	petB_Syn_EnvA|EnvAA	MIC	9e81ad97f34d1ba0c6de22ea51b04560	559
BATS11	JF307711	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-11 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIA	MIC	66bdd7761ec47814c6e4c01e4339b8b5	559
BATS10	JF307710	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-10 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIA	MIC	dba7e280c3e358020ac17daa0b27b7d7	559
BATS09	JF307709	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-09 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	e73b9d401f48e071b42d9bcc1795c0e0	559
BATS08	JF307708	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-08 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIA	MIC	e71f3c9021e24dd99b5ee60fa7e59f1d	559
BATS07	JF307707	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-07 cytochrome b6-like gene, partial sequence	petB_Syn_WPC1|WPC1A	MIC	10baf9c32fc2858266ad8a02d1f6ab8a	559
BATS06	JF307706	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-06 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	d8743da301277d945551a1244c90c38c	559
BATS05	JF307705	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-05 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIA	MIC	45a274076c3e17d0d1ac6a98fb1b6d66	559
BATS04	JF307704	petB	UNVERIFIED: Uncultured Synechococcus sp. clone BATS-04 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	0e4359f62edb04a4fb900741c5599953	559
Arctic732-8b	JF307703	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Arctic732-8b cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVC	MIC	333a8fc6d36f2d16f3cae16f6273daa4	558
Arctic732-8a	JF307702	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Arctic732-8a cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVC	MIC	2c99a8b7f2d1463404f3613e88c7f4e1	559
Arctic732-35b	JF307701	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Arctic732-35b cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	c9cbf8864a7adfa23ca3a049bd53f721	559
Arctic732-35a	JF307700	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Arctic732-35a cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	786bc9b95727c1af7abc6f8beb19f2b4	559
Arctic732-2b	JF307699	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Arctic732-2b cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	c1e747ca71d4de669f54f67192675de1	559
Arctic732-2a	JF307698	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Arctic732-2a cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	895b9e3164a8163c51c830ff76c9ba3e	559
Arctic732-25b	JF307697	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Arctic732-25b cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	bde712a943cc47d7bbdfe5c9dde7747f	559
Arctic732-1a	JF307694	petB	UNVERIFIED: Uncultured Synechococcus sp. clone Arctic732-1a cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVA	MIC	85ae445854b8b49106a268504c6a1ce5	559
AMT18070-A77	JF307693	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A77 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	59097a150627d297939116cc838f3bde	558
AMT18070-A75	JF307691	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A75 cytochrome b6-like gene, partial sequence	petB_Syn_II|wo	MIC	a5b206b4235d30ded797dbbf8b49f55f	559
AMT18070-A74	JF307690	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A74 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	b9460fbe5ee0b8a4cd735ef3b9ea8b28	559
AMT18070-A73	JF307689	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A73 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	c6bebef73f0f55229ea9c0875f1ab9e4	559
AMT18070-A72	JF307688	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A72 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	16d4984d6c18bb2524135d3bde94548e	559
AMT18070-A71	JF307687	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A71 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	20cffad8db894f2c4f9a107bd83064ea	559
AMT18070-A70	JF307686	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A70 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	2c675d05c04d78f07c680421a3bbe5c3	559
AMT18070-A69	JF307685	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A69 cytochrome b6-like gene, partial sequence	petB_Syn_II|wo	MIC	2153b9b61ccc5c70e2f96db79d43a1d9	559
AMT18070-A68	JF307684	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A68 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	f789b5c47a6a1724687814d73dfa5049	559
AMT18070-A67	JF307683	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A67 cytochrome b6-like gene, partial sequence	petB_Syn_XX|XXA	MIC	888e2afef91954d600567fda7ff79065	559
AMT18070-A66	JF307682	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A66 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	73c95e160949517e019f7078a177b6e9	559
AMT18070-A65	JF307681	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A65 cytochrome b6-like gene, partial sequence	petB_Syn_II|wo	MIC	9b60b85a4e215b8d47fa96ce1a07dd98	559
AMT18070-A64	JF307680	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A64 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	14bad3178739f1223bf14cd614b1d7bc	559
AMT18070-A63	JF307679	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A63 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	8a5d4b2f663f33630e7565121de2b961	559
AMT18070-A62	JF307678	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A62 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	b54d8e31cd6962b5dcc5c3e3ab1fc50c	559
AMT18070-A61	JF307677	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A61 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	6529df0d6373e6ec74d6e2437f3b79ef	558
AMT18070-A60	JF307676	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A60 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	cca94723a95e4ca4b6a2d47e98dd8739	559
AMT18070-A58	JF307674	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A58 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	39241d13ad7c82036cf590d07c4ae79c	559
AMT18070-A57	JF307673	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A57 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	f03c8192d274e40af752c4862f5746f6	559
AMT18070-A56	JF307672	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A56 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	caf22aa0c789d796503858f31bf06703	559
AMT18070-A55	JF307671	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A55 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	b02d358d0761c804ead031ffe9b1676b	558
AMT18070-A54	JF307670	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A54 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	db6ae314a344e1266329860a2f43ae47	559
AMT18070-A53	JF307669	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A53 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	2fde61b7eff18c3031d6cca07650d7b1	557
AMT18070-A51a	JF307666	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18070-A51a cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	2402ea30d2fb72a3d917a641dd3c62ae	559
AMT18025-A36	JF307665	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A36 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	d8743724ec9d01c48c2a81415cbd0525	559
AMT18025-A35	JF307664	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A35 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	21aab893526f1429b1135e7b7165b6b5	559
AMT18025-A34	JF307663	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A34 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIA	MIC	c3b60405a638bfc1584be42a7ff99348	559
AMT18025-A33	JF307662	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A33 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIA	MIC	daf6dfaee7c9dc5734c749fed32188aa	559
AMT18025-A32	JF307661	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A32 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	c4791c7d3b2832ee97888d78da7f66b6	559
AMT18025-A29	JF307659	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A29 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIB	MIC	08bd07724e93dff4de3a964638fd8498	559
AMT18025-A26	JF307656	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A26 cytochrome b6-like gene, partial sequence	petB_Syn_II|wo	MIC	08688ca9c4386f336867128344fbae77	559
AMT18025-A25	JF307655	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A25 cytochrome b6-like gene, partial sequence	petB_Syn_II|wo	MIC	7849517746111525a7d700d62df8a4b1	559
AMT18025-A24	JF307654	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A24 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIA	MIC	0e6ee53522982b8fb609a99df3add8d8	559
AMT18025-A23	JF307653	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A23 cytochrome b6-like gene, partial sequence	petB_Syn_XX|XXA	MIC	da16ecf6f3232389ec37d520be6f1ddf	559
AMT18025-A22	JF307652	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A22 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	cbdce296a6376bde9f27adec2513bf17	559
AMT18025-A21	JF307651	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A21 cytochrome b6-like gene, partial sequence	petB_Syn_EnvA|EnvAA	MIC	0fbbf3f906fffcce4ccf8bf3de8b5ee0	559
AMT18025-A20	JF307650	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A20 cytochrome b6-like gene, partial sequence	petB_Syn_II|wo	MIC	93eb146fdc7cc0f65b296116c9e98939	559
AMT18025-A19	JF307649	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A19 cytochrome b6-like gene, partial sequence	petB_Syn_III|IIIA	MIC	0b8ea2794cfc5a9df0d07780ea637586	559
AMT18025-A18	JF307648	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18025-A18 cytochrome b6-like gene, partial sequence	petB_Syn_III|wo	MIC	743a64fb786f04ab8e552276fdd2f903	559
AMT18012-A8	JF307647	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18012-A8 cytochrome b6-like gene, partial sequence	petB_Syn_II|IIA	MIC	a3e272d22351a4facd22b2870d9ba5f5	559
AMT18012-A7	JF307646	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18012-A7 cytochrome b6-like gene, partial sequence	petB_Syn_II|wo	MIC	e87abf375c34fc5b3ee3592c715b5f4d	559
AMT18012-A5	JF307644	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18012-A5 cytochrome b6-like gene, partial sequence	petB_Syn_XX|XXA	MIC	5a26bb069b76be552b64b98624d7e90c	559
AMT18012-A4	JF307643	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18012-A4 cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVA	MIC	d651080f61e16ce1f1fba04ad3c81fc6	558
AMT18012-A2	JF307642	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18012-A2 cytochrome b6-like gene, partial sequence	petB_Syn_EnvA|EnvAA	MIC	1ba9914b8556eaeddf7df36dd17f7642	559
AMT18012-A17	JF307641	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18012-A17 cytochrome b6-like gene, partial sequence	petB_Syn_EnvB|EnvBA	MIC	698175be3d8e717e0b5bdf3edce759d7	559
AMT18012-A16	JF307640	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18012-A16 cytochrome b6-like gene, partial sequence	petB_Syn_CRD1|CRD1A	MIC	7016157324e6babb27581ab77b47a114	558
AMT18012-A15	JF307639	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18012-A15 cytochrome b6-like gene, partial sequence	petB_Syn_XX|XXA	MIC	f34ad49e442f0f9fdc84f52bad1c6138	559
AMT18012-A12	JF307636	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18012-A12 cytochrome b6-like gene, partial sequence	petB_Syn_II|wo	MIC	6e9159ae987f20a6d8dd42f008255c0c	559
AMT18012-A11	JF307635	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18012-A11 cytochrome b6-like gene, partial sequence	petB_Syn_XX|XXA	MIC	7a2b397ce305228b64a874875b8ecb32	559
AMT18012-A10	JF307634	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18012-A10 cytochrome b6-like gene, partial sequence	petB_Syn_EnvB|EnvBA	MIC	c24acaa13a2fd0a90412e7404121a59f	559
AMT18012-A1	JF307633	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT18012-A1 cytochrome b6-like gene, partial sequence	petB_Syn_EnvB|EnvBA	MIC	f81ed821d741aba2c9b28c3a843d79f1	559
AMT15006-B9b	JF307632	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT15006-B9b cytochrome b6-like gene, partial sequence	petB_Syn_CRD1|CRD1A	MIC	57388d00e3fd76e9be9f93d143157fd2	559
AMT15006-B9a	JF307631	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT15006-B9a cytochrome b6-like gene, partial sequence	petB_Syn_CRD1|CRD1A	MIC	c9079e18bc31f2d1b0e3bd0dc3ed2410	559
AMT15006-B7s	JF307630	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT15006-B7s cytochrome b6-like gene, partial sequence	petB_Syn_EnvB|EnvBA	MIC	51baad61100abd535f605013ec782eb0	559
AMT15006-B22	JF307628	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT15006-B22 cytochrome b6-like gene, partial sequence	petB_Syn_EnvA|EnvAA	MIC	2d20b6623f24da384d89d3cf6e32b478	559
AMT15006-B21	JF307627	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT15006-B21 cytochrome b6-like gene, partial sequence	petB_Syn_I|IA	MIC	62fdf8c5284c1b323962333d4928de29	559
AMT15006-B20	JF307626	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT15006-B20 cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVC	MIC	ee1d1b729466881b8197f7ca5f2c2032	559
AMT15006-B19	JF307625	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT15006-B19 cytochrome b6-like gene, partial sequence	petB_Syn_EnvB|EnvBB	MIC	edd37e50e84d4dc865875f2612527b51	559
AMT15006-B18b	JF307624	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT15006-B18b cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVC	MIC	1f1f8b0f126e9bfbaf9b43d1040bada0	559
AMT15006-B18a	JF307623	petB	UNVERIFIED: Uncultured Synechococcus sp. clone AMT15006-B18a cytochrome b6-like gene, partial sequence	petB_Syn_IV|IVA	MIC	47bdb52d947d257e134354ff107e0b1f	559
